item_url,title,sku,price,category,image,description
https://www.profile-education.co.uk/beechwood-hexagon-tables,Beechwood Hexagon Tables,HEXTAB1TOPV3,£269.42,Early Years Furniture,https://www.profile-education.co.uk/user/products/large/HEXTAB1TOPV3-wisdom-beechwood-hexagon-table-age-3-4-lifestyle-girl-7.jpg,"Materials:

Manufactured from impact resistant solid beech wood legs with 18mm plywood table top. Tested to meet EN1729 safety and dimension requirements.

Overall dimensions (H x W x D):

Age range: 3 to 4

460 x 1050 mm

Each side: 600 mm

Age range: 4 to 6

530 x 1050 mm

Each side: 600 mm

Age range: 6 to 8

580 x 1050 mm

Each side: 600 mm"
https://www.profile-education.co.uk/beechwood-coffee-table,Beechwood Coffee Table,KB1-PRN042-41,£137.91,Early Years Furniture,https://www.profile-education.co.uk/user/products/large/KB1-PRN042-41-wisdom-beechwood-coffee-table-lifestyle-girl-6.jpg,"Materials:

Manufactured from high quality 20mm natural solid beechwood

Overall dimensions (H x W x D):

250 x 600 x 350 mm

Age range: 3+"
https://www.profile-education.co.uk/beechwood-book-display-single,Beechwood Book Display Single,KB1-PRW009-41,£381.75,Early Years Furniture,https://www.profile-education.co.uk/user/products/large/KB1-PRW009-4-wisdom-beechwood-book-display-display-single-lifestyle-boy-6.jpg,"Materials:

Manufactured from high quality 20mm natural solid beechwood. Tested to relevant safety standards.

Overall dimensions (H x W x D):

800 x 600 x 380 mm

Age range: 3+"
https://www.profile-education.co.uk/beechwood-book-display-and-storage-double,Beechwood Book Display and Storage Double,KB1-PRW011-41,£304.01,Early Years Furniture,https://www.profile-education.co.uk/user/products/large/KB1-PRW011-41-wisdom-beechwood-book-display-and-storage-double-lifestyle-boy-2.jpg,"Materials:

Manufactured from high quality 20mm natural solid beechwood. Tested to relevant safety standards.

Overall dimensions (H x W x D):

800 x 600 x 380 mm

Age range: 3+"
https://www.profile-education.co.uk/beechwood-3-shelf-unit,Beechwood 3 Shelf Unit,KB1-PRW027-41,£358.00,Early Years Furniture,https://www.profile-education.co.uk/user/products/large/KB1-PRW027-41-wisdom-beechwood-3-shelf-unit-lifestyle-girl-2.jpg,"Materials:

Manufactured from high quality 20mm natural solid beechwood. Tested to relevant safety standards.

Overall dimensions (H x W x D):

800 x 1100 x 380 mm

Age range: 3+"
https://www.profile-education.co.uk/balance-footbridge,Balance Footbridge,HW1-S639-A,£148.70,Early Years,https://www.profile-education.co.uk/user/products/large/HW1-S639-A-balance-bridge-product-1.jpg,"Made from strong painted and lacquered plywood. Supplied flat packed for simple assembly.

Overall dimensions (H x W x D):

H280 x W1400 x D480mm

Age range: 2+"
https://www.profile-education.co.uk/art-and-craft-display-shelf,Art and Craft Display Shelf,KB1-TF033-V01,£291.56,Early Years,https://www.profile-education.co.uk/user/products/large/KB1-TF033-V01-art-and-craft-display-shelf-product.jpg,"Materials:

Manufactured from 18mm maple board with tough powder coated steel shelves. Meets relevant safety standards.

Overall dimensions (H x W x D):

810 x 640 x 400 mm

Age range: 3+"
https://www.profile-education.co.uk/apple-tree-bookcase-new,Apple Tree Bookcase,KB1-PS023,£208.36,Early Years Furniture,https://www.profile-education.co.uk/user/products/large/KB1-PS023-apple-tree-bookcase-with-child.jpg,"Materials:

Manufactured from strong and sturdy plywood. Tested to relevant safety standards.

Overall dimensions (H x W x D):

1320 x 1060 x 150 mm

3 small display shelves 120 x 160 x 70

Middle display shelf 315 x 380 x 224

Floor display shelf 470 x 478 x 145

Age range: 3+"
https://www.profile-education.co.uk/activity-play-cube,Activity Play Cube,GP2-AZ12058-V01,£321.75,Early Years Outdoor Resources,https://www.profile-education.co.uk/user/products/large/GP2-AZ12058-V01-activity-play-cube-lifestyle-children-2.jpg,"Materials:

Manufactured from a combination of galvanized steel, compact grade waterproof laminate, and a resilient powder coating (rust resistant). Safety tested to relevant standards. Supplied flat packed for simple self-assembly.

Overall dimensions (H x W x D):

1180 x 1100 x 1100 mm

Age range: 3 to 11"
https://www.profile-education.co.uk/SKU-TME16WSET,6 Sided Easel Sets,TME16WSET-DW,£474.97,Early Years Outdoor Resources,https://www.profile-education.co.uk/user/products/large/TME16WSET-AC-myo-easel-frame-set-6-sided-easel-frame-with-clear-acrylic-boards-lifestyle-children-1.jpg,"Materials:

Frames are manufactured from aluminium and boards from 5mm clear perspex, white perspex and metal. Tested to relevant safety standards.

Overall dimensions (H x W x D):

1220 x 1200 x 1150mm

Age range: 2+"
https://www.profile-education.co.uk/4-sided-easel-sets,4 Sided Easel Sets,TME14WSET-AC,£322.64,Early Years Outdoor Resources,https://www.profile-education.co.uk/user/products/large/TME14WSET-DW-myo-easel-frame-set-4-sided-easel-frame-with-dry-wipe-white-boards-product-1.jpg,"Materials:

Frames are manufactured from aluminium and boards from 5mm clear perspex or white perspex and metal. Tested to relevant safety standards.

Overall dimensions (H x W x D):

1220 x 640 x 640 mm

Age range: 2+"
https://www.profile-education.co.uk/3-sided-easel-sets,3 Sided Easel Sets,TME13W-AC,£240.27,Early Years Outdoor Resources,https://www.profile-education.co.uk/user/products/large/TME13W-AC-myo-easel-frame-set-3-sided-easel-frame-with-clear-acrylic-boards-product-1.jpg,"Materials:

Frames are manufactured from aluminium and boards from 5mm clear perspex or white perspex and metal. Tested to relevant safety standards.

Overall dimensions (H x W x D):

1220 x 640 x 520 mm

Age range: 2+"
https://www.profile-education.co.uk/2-sided-easel-sets,2 Sided Easel Sets,TME12W-DW,£170.32,Early Years Outdoor Resources,https://www.profile-education.co.uk/user/products/large/TME12W-DW-myo-easel-frame-set-2-sided-easel-frame-with-dry-wipe-white-boards-lifetstyle-girl-1.jpg,"Materials:

Frames are manufactured from aluminium and boards from 5mm clear perspex or white perspex and metal. Tested to relevant safety standards.

Overall dimensions (H x W x D):

1220 x 600 x 410 mm

Each Board 600 x 600 mm

Age range: 2+"
https://www.profile-education.co.uk/elegant-bookcase-display-unit,Elegant Bookcase & Display Unit,KB1-EAB030-30,£247.90,Early Years Furniture,https://www.profile-education.co.uk/user/products/large/KB1-EAB030-30-elegant-bookcase-and-display-unit-lifestyle-girl-4.jpg,"Materials:

Manufactured from a combination of 18mm shelves and a 28mm laminated wood external frame for durability and longevity. Corners and edges are rounded for safety and comfort. Delivered flat packed for easy assembly.

Overall dimensions (H x W x D):

1046 x 940 x 350 mm

Age range: 2+"
https://www.profile-education.co.uk/elegant-basic-book-storage,Elegant Basic Book Storage,KB1-EAX012-V03-30,£188.77,Early Years Furniture,https://www.profile-education.co.uk/user/products/large/KB1-EAX012-V03-30-elegant-basic-book-storage-product.jpg,"Materials:

Manufactured from a combination of 18mm shelves and a 28mm laminated wood external frame for durability and long life. Meet relevant safety standards for school use.

Overall dimensions (H x W x D):

800 x 830 x 400 mm

Age range: 2+"
https://www.profile-education.co.uk/elegant-adjustable-book-shelf,Elegant Adjustable Book Shelf,KB1-EAB026-30,£249.52,Early Years Furniture,https://www.profile-education.co.uk/user/products/large/KB1-EAB026-30-elegant-adjustable-book-shelf-adjustable-shelves-with-KB1-EABSET-elegant-set.jpg,"Materials:

Manufactured from a combination of 18mm shelves and a 28mm laminated wood external frame for durability and long life. Meet relevant safety standards for school use.

Overall dimensions (H x W x D):

1200 x 830 x 415 mm

Age range: 2+"
https://www.profile-education.co.uk/elegant-8-compartment-cabinet,Elegant 8 Compartment Cabinet,KB1-EAB002-V01-30,£295.05,Early Years Furniture,https://www.profile-education.co.uk/user/products/large/KB1-EAB002-V01-30-elegant-8-compartment-cabinet-product.jpg,"Materials:

Manufactured from a combination of 18mm shelves and a 28mm laminated wood external frame for durability and long life. Meet relevant safety standards for school use.

Overall dimensions (H x W x D):

830 x 1110 x 415 mm

Age range: 2+"
https://www.profile-education.co.uk/elegant-3-shelf-cabinet,Elegant 3 Shelf Cabinet,KB1-EAB024-V01-30,£218.32,Early Years Furniture,https://www.profile-education.co.uk/user/products/large/KB1-EAB024-V01-30-elegant-3-shelf-cabinet-with-child.jpg,"Materials:

Manufactured from a combination of 18mm shelves and a 28mm laminated wood external frame for durability and long life. Meet relevant safety standards for school use.

Overall dimensions (H x W x D):

830 x 830 x 415 mm

Age range: 2+"
https://www.profile-education.co.uk/elegant-20-tray-cabinet,Elegant 20 Tray Cabinet,KB1-EAB025-V01-30SET,£459.43,Early Years Furniture,https://www.profile-education.co.uk/user/products/large/KB1-EAB025-V01-30SET-elegant-tray-cabinet-16-small-and-4-large-trays-product.jpg,"Materials:

Manufactured from a combination of 18mm shelves and a 28mm laminated wood external frame for durability and long life. Meet relevant safety standards for school use.

Overall dimensions (H x W x D):

830 x 1060 x 415 mm

Small trays: 80 x 310 x 380

Large trays: 150 x 310 x 380

Age range: 2+"
https://www.profile-education.co.uk/SKU146,Coloured Benches,GP1-4232-106-A,£112.46,Early Years Furniture,https://www.profile-education.co.uk/user/products/large/coloured-benches-classroom-claudia-4.jpg,"Materials:

Manufactured from a combination of plywood, PVC and foam. Meet relevant safety standards.

Overall dimensions (H x W x D):

230 x 600 x 350 mm

Age range: 2+"
https://www.profile-education.co.uk/beechwood-tree-house-library-corner,Beechwood Tree House Library Corner,KB1-PRNA013-W01,£616.31,Early Years Furniture,https://www.profile-education.co.uk/user/products/large/KB1-PRNA013-W01-zona-tree-library-corner-lifestyle-boy-1.jpg,"Materials:

Manufactured from high quality 20mm natural solid beechwood. Green canopy is made from cotton and cushioned seat from polyester. Tested to relevant safety standards.

Overall dimensions (H x W x D):

1760 x 1100 x 1100 mm

Age range: 3+"
https://www.profile-education.co.uk/beechwood-trapezoid-tables,Beechwood Trapezoid Tables,TRAPTAB1TOPV3,£199.57,Early Years Furniture,https://www.profile-education.co.uk/user/products/large/TRAPTAB3TOPV3-wisdom-beechwood-trapezoid-table-age-6-8-lifestyle-boy-3.jpg,"Materials:

Manufactured from impact resistant solid beech wood legs with 18mm plywood table top. Tested to meet EN1729 safety and dimension requirements.

Overall dimensions (H x W x D):

Age range: 3 to 4

460 x 1160/560 x 600 mm

Age range: 4 to 6

530 x 1160/560 x 600 mm

Age range: 6 to 8

580 x 1160/560 x 600 mm"
